firm_id,firm_name,razon_social,hs4,ncm,product_name_declared,exporter_profile,source_url
1832,CONCI SRL,CONCI S R L,0713,0713.10.90,ARVEJAS ENTERAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1832
1832,CONCI SRL,CONCI S R L,1005,1005.90.10,MAÍZ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1832
1832,CONCI SRL,CONCI S R L,1008,1008.50.90,QUINOA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1832
1832,CONCI SRL,CONCI S R L,1201,1201.90.00,SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1832
1832,CONCI SRL,CONCI S R L,1207,1207.40.90,SÉSAMO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1832
1930,CONMECA,CONMECA S R L,8428,8428.39.20,RODILLOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1930
5311,CONO GROUP,CONO S.A.,0713,0713.20.90,GARBANZO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5311
5311,CONO GROUP,CONO S.A.,1005,1005.90.10,MAÍZ PISINGALLO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5311
5311,CONO GROUP,CONO S.A.,1207,1207.50.90,MOSTAZA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5311
3287,COOPERATIVA AGRICOLA GANADERA DE JUSTINIANO POSSE,COOP AGRICOLA GANADERA DE JUSTINIANO POSSE LIMITADA,1101,1101.00.10,HARINA DE TRIGO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3287
1849,COOPERATIVA AGRICULTORES DEL SUR LTDA.,COOPERATIVA AGRICULTORES DEL SUR LIMITADA,1507,1507.10.00,ACEITE DESGOMADO DE SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1849
1849,COOPERATIVA AGRICULTORES DEL SUR LTDA.,COOPERATIVA AGRICULTORES DEL SUR LIMITADA,2304,2304.00.10,EXPELLER DE SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1849
1849,COOPERATIVA AGRICULTORES DEL SUR LTDA.,COOPERATIVA AGRICULTORES DEL SUR LIMITADA,2309,2309.90.90,PREMEZCLA PARA VACUNOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1849
4732,COPETO SNACK,INPROAL S.R.L,1202,1202.41.00,MANÍ CRUDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4732
4732,COPETO SNACK,INPROAL S.R.L,2008,2008.11.00,MANÍ VAINA VIRGINIA TOSTADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4732
3359,COREX,PROTEINAS ARGENTINAS SOCIEDAD ANONIMA,2106,2106.10.00,PROTEÍNA DE SOJA TEXTURADA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3359
2165,COSTANTINI,RUBEN COSTANTINI S A,8428,8428.90.90,POSICIONADOR DE CARGA 500KG. MODELO AWCTH,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2165
2165,COSTANTINI,RUBEN COSTANTINI S A,8431,8431.39.00,REPUESTO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2165
2165,COSTANTINI,RUBEN COSTANTINI S A,8515,8515.31.90,CELDA DE SOLDADURA TIPO CNF,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2165
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,0713,0713.20.90,GARBANZOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,0802,0802.99.00,NUEZ PECÁN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,1005,1005.90.10,MAÍZ PISINGALLO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,1202,1202.42.00,MANÍ CONFITERÍA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,1206,1206.00.90,GIRASOL CONFITERO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
485,COTAGRO,COTAGRO COOPERATIVA AGROPECUARIA LIMITADA,2008,2008.11.00,MANÍ TOSTADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=485
1828,CRAVERO REPUESTOS,CRAVERO ORLANDO PEDRO JOSE,8483,8483.50.10,POLEAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1828
2472,CREX EXPORT SA,CREX EXPORT S.A,8474,8474.31.00,HORMIGONERA PORTATIL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2472
4648,CRIADERO EL CARMEN,EL CARMEN S A,1202,1202.30.00,MANÍ SEMILLA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4648
2198,CROPPERS - GRUPO MANIAGRO,DON HECTOR S A,1904,1904.20.00,GRANOLA Y NUECES,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2198
2198,CROPPERS - GRUPO MANIAGRO,DON HECTOR S A,2008,2008.11.00,MANÍ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2198
3537,CTA - CENTRO TECNOLOGICO AGROPECUARIO,CENTRO TECNOLOGICO AGROPECUARIO S. A.,1202,1202.42.00,MANÍ CRUDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3537
3687,CTS SOLDADURAS ESPECIALES,SOLDADURAS ESPECIALES S.R.L.,8311,8311.00.00,ALEACIONES ESPECIALES CTS 290,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3687
232,CURTIEMBRE RÍO TERCERO SA,CURTIEMBRE RIO TERCERO S A,4104,4104.19.40,CUERO BOVINO DIVIDIDO SIN LA FLOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=232
4000,CUSCO COWHIDES,DON BABUL S.A.,4302,4302.19.90,CUERO VACUNO CON PELO CURTIDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4000
3372,CYLITEC,NEOCYL S.R.L.,8443,8443.91.99,RODILLOS PARA IMPRESIÓN DE ENVASES FLEXIBLES,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3372
5325,DALNUT,DALNUT SA,1202,1202.42.00,MANÍ BLANCHEADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5325
2209,DARIO DELFABRO S.R.L.,DARIO A. DELFABRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,8425,8425.42.00,CRIQUES HIDRÁULICOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2209
2209,DARIO DELFABRO S.R.L.,DARIO A. DELFABRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,8427,8427.90.00,CARRETILLA MECÁNICA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2209
2209,DARIO DELFABRO S.R.L.,DARIO A. DELFABRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,8462,8462.91.19,PRENSA HIDRÁULICA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2209
2209,DARIO DELFABRO S.R.L.,DARIO A. DELFABRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,8479,8479.89.99,BANCO DE MOTOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2209
