candidate_hs4,n_anchors_linking,mean_proximity,max_proximity,best_anchor_hs4,candidate_product_name_short,candidate_product_name,candidate_sector,pci,distance_travelled,accessible_market_size,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,pci_norm,acc_size_norm,acc_growth_norm,dai_norm,distance_norm_inverse,distance_percentile,attractiveness_score,feasibility_score,combined_score,combined_rank
8417,2,0.35663729856892334,0.37104831937384475,8480,Industrial furnaces,"Industrial or laboratory furnaces and ovens, including incinerators, nonelectric, and parts thereof",Machinery,1.944132431571446,5159.651627603306,248980637.0,0.1490821123728696,1.4328715547448851,96.7741935483871,25.80645161290323,0.8446118146809901,0.0010216206065123672,0.1976610510448315,0.9666666666666668,0.5342903700647661,41.69960474308301,0.47197657525333103,0.7504785183657164,0.9168728999920431,27
8307,1,0.32977719093009483,0.32977719093009483,2923,Flexible tubing of base metal,"Flexible tubing of base metal,with or without fittings",Metals,2.3987319159701066,5610.442215074273,520354971.0,-0.0127366934254823,1.8835300371591368,96.7741935483871,35.48387096774194,0.8842363161406007,0.002135127323474336,0.14751963894248984,0.9666666666666668,0.48466170207506776,29.64426877470355,0.4795318496367914,0.7256641843708673,0.9121312986619612,28
3507,2,0.3438896363314049,0.34721784074704165,3822,Enzymes,Enzymes; prepared enzymes not elsewhere specified or included,Chemicals,2.1159299285810658,5102.043634471812,470029767.0,0.0818761531918612,1.4424148136841912,93.33333333333331,23.33333333333333,0.8595862931057068,0.0019286322881461929,0.1768365141289719,0.9311111111111109,0.5406325787180465,43.873517786561266,0.4744844331571329,0.7358718449145787,0.911095494143058,29
2915,1,0.34825597986615137,0.34825597986615137,3404,Saturated acyclic monocarboxylic acids,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Chemicals,1.9083388010800433,4877.813960593676,662133417.0,0.0716952113072109,1.229845940146896,93.5483870967742,38.70967741935484,0.841491915049939,0.0027168744976246734,0.17368183256949743,0.9333333333333335,0.5653185866952052,47.430830039525695,0.4648456342917501,0.7493259600142693,0.9051323861598741,30
3306,2,0.339083076952572,0.3625415058917852,3304,Dental hygiene products,"Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",Chemicals,1.153489271327595,3440.893965439912,226716894.0,0.041937060230283,1.3364207597451987,93.5483870967742,35.48387096774193,0.7756965560142209,0.0009302677250154199,0.1644609283044433,0.9333333333333335,0.7235127179598422,82.21343873517787,0.42919607701447515,0.8284230256465879,0.9024365500389047,31
7208,2,0.36899725877645395,0.3930229265367225,7210,"Flat-rolled iron, width > 600mm, hot-rolled, not clad","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",Metals,1.6655036313263785,3797.880089092552,1136379231.0,0.2092884593532495,1.2364230706726795,80.64516129032258,35.483870967741936,0.8203255414209037,0.004662806124968977,0.21631667787526104,0.7999999999999999,0.6842112189931467,74.11067193675889,0.46540764171050936,0.7421056094965733,0.901233051962072,32
8424,1,0.3990698552360112,0.3990698552360112,8434,Sprays and powder dispersers,"Mechanical appliances (whether or not hand operated) for projecting, dispersing or spraying liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar jet projecting machi",Machinery,2.024126448076179,5546.448041776656,1114712454.0,0.0714376081779899,1.266952939542663,96.7741935483871,32.25806451612904,0.8515843765349587,0.004573902722171802,0.17360201128669042,0.9666666666666668,0.49170698134249957,31.422924901185766,0.4703361667696949,0.7291868240045831,0.9002967275762732,33
8484,1,0.3411902798821355,0.3411902798821355,8704,Gaskets and similar joints of metal sheeting,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals",Machinery,1.937865537975876,5566.254873681902,239559998.0,0.105013041352304,1.1930282161851655,96.7741935483871,38.70967741935484,0.844065570034995,0.0009829657173415518,0.18400574417176566,0.9666666666666668,0.48952639747079996,30.8300395256917,0.4682799624897743,0.7280965320687334,0.8964111838843182,34
3502,4,0.33000429699510336,0.35040836087381305,3002,Albumins,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 percent whey proteins, calculated on the dry matter), albuminates and other albumin derivatives",Chemicals,1.6257928408170406,5622.049051786481,199930335.0,0.2956191634290652,1.398720701701486,96.66666666666669,33.33333333333334,0.8168642082463161,0.0008203567657468913,0.2430672362469807,0.9655555555555557,0.48338387626944823,29.44664031620553,0.46940400237634,0.724469715912502,0.8957486095702013,35
2817,1,0.32349755068844754,0.32349755068844754,2807,Zinc oxide or peroxide,Zinc oxide; zinc peroxide,Chemicals,0.7471805330123432,3894.9633873295807,70911752.0,0.1687801362502139,1.4312145016945557,100.0,16.129032258064512,0.7402812470511634,0.00029096602836265763,0.20376470956562467,1.0,0.6735230748538004,72.72727272727273,0.42115454242407857,0.8367615374269002,0.8955570731963055,36
