hs4,hs_revision,supports_top50_line,top50_line_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources
2302,HS92,212B,"Afrecho, afrechillo, pellets",clean,yes,4,Jose Minetti y Cía. (Molino San José); GRANAM - COMPAÑÍA DE GRANOS AMERICANOS; HARINA FINEZZA; MOLINO SAN PEDRO,targeted+registry-full
2304,HS92,212AE,Subproductos oleaginosos de soja,clean,yes,3,ACEITERA GENERAL DEHEZA SA - AGD; LA TROJA; ALPRO,targeted+registry-full
2305,HS92,212AD,Subproductos oleaginosos de maní,clean,yes,11,"Lorenzati, Ruetsch y Cia S.A.; Olega; INDELMA — Insa; GC EXPORT SA - GRUPO CAVIGLIASSO S.A.; INDELMA - INSA",targeted+registry-full
2306,HS92,212Z,Resto residuos alimenticios y prep. para animales,resto,yes,1,ACEITERA GENERAL DEHEZA SA - AGD,targeted
2309,HS92,212Z,Resto residuos alimenticios y prep. para animales,resto,yes,31,ALIMENTOS TANCACHA SA; ALVICOR / LUCERITO; BIOFARMA; COOPERATIVA AGRICULTORES DEL SUR LTDA.; GEPSA,registry-full
2401,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,2,SAYRI TABACOS; PUNTO Y BANCA,registry-full
2501,HS92,19899,Productos primarios (confidencial),confidential,no,10,LA INDUSTRIAL SALINERA S.A.; AZAFRÁN RUEDO; COPETO SNACK; JORVIC; RORUKA,targeted+registry-full
2523,HS92,19899,Productos primarios (confidencial),confidential,no,5,INDUMIX; TECNUS; BODEGA TERRA CAMIARE; MARIA TRINIDAD CAMINOS; SCOLARI NANT E HIJOS SRL,registry-full
2923,HS92,302B,Productos químicos orgánicos,broad-chapter,yes,2,ACEITERA GENERAL DEHEZA SA - AGD; WILBEY TENSOACTIVOS ARGENTINOS SRL,targeted+registry-full
2929,HS92,302B,Productos químicos orgánicos,broad-chapter,yes,2,Petroquímica Río Tercero; PETROQUÍMICA RIO TERCERO SA,targeted+registry-full
3002,HS92,302C,Productos farmacéuticos,broad-chapter,yes,12,BRIZUELA-LAB; FRIGORÍFICO PAMPA DE VARE; FRIGORÍFICO RIO SEGUNDO; OSCAR DULCE; RDC S.A / RDC LEVADURAS / GRUPO BELTRÁN,targeted+registry-full
3003,HS92,302C,Productos farmacéuticos,broad-chapter,yes,2,LABORATORIOS PUEBLA; PILL.AR,registry-full
3105,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,10,NANOMIX; LANTHER QUIMICA S.A.; COMOFRA; SERVQUIM SA; CERES DEMETER,targeted+registry-full
