firm_id,firm_name,razon_social,exporter_profile,source_layer,hs4_or_ebops,ciiu_rev3_primary,ciiu_primary_desc,ciiu_rev3_all,in_oede_cordoba
4685,PILAGÁ CARNES,AGROLAM SA,Exportadora Habitual,declared-ncm,0201,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
4685,PILAGÁ CARNES,AGROLAM SA,Exportadora Habitual,declared-ncm,0202,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
2892,PILMHOR SA,PILMHOR S.A.,Exportadora Habitual,declared-ncm,8413,2912,Fabricación de bombas; compresores; grifos y válvulas,2912,yes
2892,PILMHOR SA,PILMHOR S.A.,Exportadora Habitual,declared-ncm,8481,2912,Fabricación de bombas; compresores; grifos y válvulas,2912,yes
277,PISTONES PERSAN,EDUARDO H PEREZ Y HNOS S A,Exportadora Habitual,declared-ncm,8409,2927,Fabricación de armas y municiones,"2927,3190,3430,3530,3610",yes
2338,PLÁSTICOS BOULEVARES SRL,PLASTICOS BOULEVARES S R L,Exportadora Habitual,declared-ncm,3923,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
1940,PLÁSTICOS DEL PACÍFICO,ARON GERMAN GUSTAVO,Exportadora Habitual,declared-ncm,3920,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
1940,PLÁSTICOS DEL PACÍFICO,ARON GERMAN GUSTAVO,Exportadora Habitual,declared-ncm,3926,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
276,PLÁSTICOS DISE,PLASTICOS DISE S. A.,Exportadora Habitual,declared-ncm,3923,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
676,PLÁSTICOS PEN-PLA S.R.L.,PLASTICOS PEN PLA SRL,Exportadora Habitual,declared-ncm,8433,2921,Fabricación de maquinaria agropecuaria,2921,yes
4188,PLASTICOS SAN FRANCISCO SRL,PLASTICOS SAN FRANCISCO S.R.L.,Exportadora Habitual,declared-ncm,3917,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
677,PLUMITA,PLUMITA S R L,Exportadora Habitual,declared-ncm,8433,2921,Fabricación de maquinaria agropecuaria,2921,yes
2492,PORTA HNOS S.A.,PORTA HNOS SA,Exportadora Habitual,declared-ncm,2103,1549,Elaboración de productos alimenticios n.c.p.,"1549,2429",yes
2492,PORTA HNOS S.A.,PORTA HNOS SA,Exportadora Habitual,declared-ncm,2207,1551,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico","1551,2330,2411,2429",yes
2492,PORTA HNOS S.A.,PORTA HNOS SA,Exportadora Habitual,declared-ncm,2208,1551,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico",1551,yes
2492,PORTA HNOS S.A.,PORTA HNOS SA,Exportadora Habitual,declared-ncm,2209,1549,Elaboración de productos alimenticios n.c.p.,"1549,2429",yes
2492,PORTA HNOS S.A.,PORTA HNOS SA,Exportadora Habitual,declared-ncm,2303,1532,Elaboración de almidones y productos derivados del almidón,"1532,1542,1551",yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,0708,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,0713,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,1004,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,1106,1531,Elaboración de productos de molinería,1531,yes
725,PRAGA ALIMENTOS,PRAGA SRL,Exportadora Habitual,declared-ncm,1901,1531,Elaboración de productos de molinería,"1531,1549,2429",yes
5165,PRIKA SA - GRUPO EL ESPINILLO,PRIKA S.A,Exportadora Habitual,declared-ncm,0713,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
5165,PRIKA SA - GRUPO EL ESPINILLO,PRIKA S.A,Exportadora Habitual,declared-ncm,1106,1531,Elaboración de productos de molinería,1531,yes
5165,PRIKA SA - GRUPO EL ESPINILLO,PRIKA S.A,Exportadora Habitual,declared-ncm,1201,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2291,PRODEMAN S.A. - MANÍ KING,PRO DE MAN SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2291,PRODEMAN S.A. - MANÍ KING,PRO DE MAN SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
2291,PRODEMAN S.A. - MANÍ KING,PRO DE MAN SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1508,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2291,PRODEMAN S.A. - MANÍ KING,PRO DE MAN SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
2291,PRODEMAN S.A. - MANÍ KING,PRO DE MAN SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,2305,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
3315,PRODISMO,PRODISMO SRL,Exportadora Habitual,declared-ncm,8480,2929,Fabricación de maquinaria de uso especial n.c.p.,"2893,2929",yes
1734,PRODUMAT,PRODUMAT S.A.,Exportadora Habitual,declared-ncm,8483,2913,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,2913,yes
3414,PROMAR SH,TOLOZA ROQUE MANUEL Y SACCO SARA SUSANA SOC. DE HECHO,Exportadora Habitual,declared-ncm,3926,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
3414,PROMAR SH,TOLOZA ROQUE MANUEL Y SACCO SARA SUSANA SOC. DE HECHO,Exportadora Habitual,declared-ncm,8480,2929,Fabricación de maquinaria de uso especial n.c.p.,"2893,2929",yes
4894,PROME AGRONEGOCIOS,R.C.C.M. AGROSERVICIOS S.R.L.,Exportadora Habitual,declared-ncm,0708,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
4894,PROME AGRONEGOCIOS,R.C.C.M. AGROSERVICIOS S.R.L.,Exportadora Habitual,declared-ncm,0713,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
4894,PROME AGRONEGOCIOS,R.C.C.M. AGROSERVICIOS S.R.L.,Exportadora Habitual,declared-ncm,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1955,PRONOR,PRONOR SA,Exportadora Habitual,declared-ncm,1517,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
1955,PRONOR,PRONOR SA,Exportadora Habitual,declared-ncm,2304,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
1955,PRONOR,PRONOR SA,Exportadora Habitual,declared-ncm,2308,1533,Elaboración de alimentos preparados para animales,1533,yes
1955,PRONOR,PRONOR SA,Exportadora Habitual,declared-ncm,2309,1533,Elaboración de alimentos preparados para animales,1533,yes
1746,PROYTEC SRL,PROYTEC S.R.L.,Exportadora Habitual,declared-ncm,8470,2429,Fabricación de productos químicos n.c.p.,"2429,2899,3000,3230,3610",yes
1746,PROYTEC SRL,PROYTEC S.R.L.,Exportadora Habitual,declared-ncm,8472,2429,Fabricación de productos químicos n.c.p.,"2429,2899,3000,3230,3610",yes
4253,PUNTA DEL AGUA SA,PUNTA DEL AGUA S A,Exportadora Habitual,declared-ncm,0402,1520,Elaboración de productos lácteos,1520,yes
