hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
3003,HS92,302C,Productos farmacéuticos,302C,Productos farmacéuticos,aggregate-broad-chapter,yes,0,,,93580.48333654174,280741.45000962523,9.529657372098576e-06,"Medicamentos ncop.,s/acondicionar p/la venta por menor",1,93580.48333654174
3105,HS92,302D,Abonos y fertilizantes distintos de los primarios,302D,Abonos y fertilizantes distintos de los primarios,clean,yes,6,NANOMIX; LANTHER QUIMICA S.A.; INNOQUIM; RECUPERAR SRL; SERVQUIM SA,targeted+registry-declared,90710.37666977668,272131.13000933005,9.237383468604357e-06,"Abonos minerales o químicos c/nitrógeno, fósforo y potasio",4,90710.37666977668
2518,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,4,DOLOMITA SAIC; VERDOL; EL CERRITO SAS; GRIGIONI MINERALES,registry-declared,86499.83666963232,259499.51000889696,8.80860812868021e-06,"Dolomita s/calcinar ni sinterizar,llamada ""cruda""",3,86499.83666963232
9402,HS92,399E,"Muebles, equipo médico-quirúrgico, construcciones prefabricadas",399E,"Muebles, equipo médico-quirúrgico, construcciones prefabricadas",clean,yes,3,INFOREST SRL; TRENDEL; SIEC,registry-declared,86284.54666962494,258853.6400088748,8.786684327236149e-06,"Mobiliario p/medicina,cirugía,odontología o veterinaria,ncop.,sus partes",3,86284.54666962494
8467,HS92,312AZ,"Resto de máquinas, aparatos y artículos mecánicos",312AZ,"Resto de máquinas, aparatos y artículos mecánicos",aggregate-resto,yes,5,EVOLUTION CONTROL CABLE; GRUPO TORREON; LASSO SA; VULCANO / VULLETIC; SISTEMAS INDUSTRIALES,registry-declared,85411.88000292836,256235.64000878503,8.697817353726701e-06,"Grapadoras,clavadoras y otras herramientas neumáticas de uso manual excluidas rotativas",6,85411.88000292836
8802,HS92,314A,"Vehículos de navegación aérea, aeronaves, vehículos espaciales y sus partes",314A,"Vehículos de navegación aérea, aeronaves, vehículos espaciales y sus partes",clean,yes,1,FADEA S.A.,registry-declared,82000.00000281139,246000.00000843417,8.350372606311787e-06,"Vehículos espaciales(incluidos satélites),sus vehículos de lanzamiento y vehículos suborbitales",1,82000.00000281139
8425,HS92,312AF,"Máquinas y aparatos para la elevación, carga y descarga",312AF,"Máquinas y aparatos para la elevación, carga y descarga",aggregate-broad,yes,7,DARIO DELFABRO S.R.L.; FADICAD SA; GAN MAR; PESSOT SRL; HIDRÁULICOS Y HERRAMIENTAS MORANO,registry-declared,81671.51333613346,245014.54000840036,8.316921556764567e-06,"Elevadores fijos p/vehículos,utilizados en talleres",8,81671.51333613346
8442,HS92,312AZ,"Resto de máquinas, aparatos y artículos mecánicos",312AZ,"Resto de máquinas, aparatos y artículos mecánicos",aggregate-resto,yes,1,INDUSTRIAS MEX,registry-declared,80220.21000275038,240660.63000825112,8.169129805568035e-06,"Caracteres de imprenta,clisés,planchas cilindros y otros elementos impresores,planchas,placas y similares",1,80220.21000275038
2530,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,0,,,77273.29333598266,231819.88000794797,7.869034046953193e-06,Espodumeno,2,77273.29333598266
8705,HS92,313BB,Vehículos automóviles terrestres,313BB,Vehículos automóviles terrestres,aggregate-broad-chapter,yes,2,INDUMIX; ECONOVO,targeted+registry-declared,76449.64666928777,229348.9400078633,7.785158966921325e-06,"Camiones o coches p/usos especiales,ncop.",1,76449.64666928777
